source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
78716737,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_78716737/,6190.0,1LDK,55.68,1995,2.0,9.0,東京都豊島区北大塚３ [ ■ 周辺環境 ],大塚駅,10.0,21
79227457,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_79227457/,6198.0,3LDK,59.7,1979,2.0,10.0,東京都豊島区高田２ [ ■ 周辺環境 ],雑司が谷駅,5.0,24
79024549,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79024549/,6298.0,2LDK,57.08,1997,4.0,8.0,東京都足立区千住１ [ ■ 周辺環境 ],北千住駅,2.0,22
20324163,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20324163/,6299.0,2LDK,56.4,1980,2.0,5.0,東京都文京区小石川３-21-11 [ ■ 周辺環境 ],春日駅,10.0,33
20264247,https://suumo.jp/ms/chuko/tokyo/sc_chiyoda/nc_20264247/,6280.0,1LDK,32.95,2016,13.0,15.0,東京都千代田区岩本町２ [ ■ 周辺環境 ],岩本町駅,3.0,30
79191095,https://suumo.jp/ms/chuko/tokyo/sc_kita/nc_79191095/,6280.0,4LDK,78.31,2004,9.0,9.0,東京都北区浮間５-15-22 [ ■ 周辺環境 ],浮間舟渡駅,11.0,24
20203785,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_20203785/,6280.0,2LDK,72.0,1982,6.0,13.0,東京都江東区亀戸１ [ ■ 周辺環境 ],錦糸町駅,8.0,21
79015915,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_79015915/,6298.0,1LDK,48.39,1994,11.0,1.0,東京都江東区毛利１ [ ■ 周辺環境 ],住吉駅,4.0,29
20221598,https://suumo.jp/ms/chuko/tokyo/sc_meguro/nc_20221598/,6299.0,1R,28.41,2004,5.0,12.0,東京都目黒区大橋１ [ ■ 周辺環境 ],池尻大橋駅,5.0,33
20170359,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_20170359/,6280.0,2DK,44.21,1976,3.0,5.0,東京都港区東麻布２ [ ■ 周辺環境 ],麻布十番駅,5.0,24
78743915,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_78743915/,6280.0,2DK,44.21,1976,3.0,5.0,東京都港区東麻布２ [ ■ 周辺環境 ],麻布十番駅,5.0,33
20345041,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20345041/,6280.0,1LDK,50.25,1997,9.0,1.0,東京都練馬区練馬１ [ ■ 周辺環境 ],練馬駅,1.0,21
20255527,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20255527/,6290.0,4LDK,79.94,2003,10.0,10.0,東京都大田区大森南３ [ ■ 周辺環境 ],昭和島駅,14.0,28
20270385,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20270385/,6290.0,4LDK,79.94,2003,10.0,10.0,東京都大田区大森南３-21-14 [ ■ 周辺環境 ],昭和島駅,14.0,29
20308309,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20308309/,6290.0,4LDK,79.94,2003,10.0,10.0,東京都大田区大森南３ [ ■ 周辺環境 ],昭和島駅,14.0,33
78891431,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_78891431/,6280.0,2LDK,68.85,2003,3.0,4.0,東京都大田区東雪谷５ [ ■ 周辺環境 ],石川台駅,10.0,22
78985205,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_78985205/,6280.0,3LDK,73.03,1997,2.0,13.0,東京都大田区大森中１ [ ■ 周辺環境 ],大森町駅,3.0,24
79004732,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79004732/,6290.0,3LDK,61.36,1996,3.0,6.0,東京都大田区西蒲田４ [ ■ 周辺環境 ],蒲田駅,12.0,28
79042407,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79042407/,6290.0,3LDK,61.36,1996,3.0,6.0,東京都大田区西蒲田４-6-5 [ ■ 周辺環境 ],蒲田駅,12.0,33
79023244,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_79023244/,6298.0,3LDK,84.24,1980,2.0,10.0,東京都世田谷区大蔵１ [ ■ 周辺環境 ],用賀駅,20.0,22
79191168,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_79191168/,6280.0,1K,36.96,2023,1.0,5.0,東京都世田谷区若林１ [ ■ 周辺環境 ],三軒茶屋駅,11.0,22
20322056,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_20322056/,6299.0,2LDK,61.81,1971,7.0,8.0,東京都渋谷区代々木１-４４-９ [ ■ 周辺環境 ],代々木駅,4.0,35
20331325,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_20331325/,6280.0,1LDK,50.03,1984,2.0,9.0,東京都新宿区百人町２ [ ■ 周辺環境 ],新大久保駅,4.0,23
