source,source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,interior_image_count
suumo,20095909,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20095909/,4200,2LDK,,1988,1,1,東京都荒川区東尾久１-29-7,赤土小学校前駅,5,55
suumo,20120093,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20120093/,3780,3LDK,50.0,1983,2,9,東京都荒川区町屋６-36-2,町屋駅,16,9
suumo,20147681,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20147681/,3580,2DK,,1983,5,6,東京都荒川区荒川５,町屋駅,4,42
suumo,20179703,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20179703/,6980,2LDK,,2011,3,11,東京都荒川区西日暮里１,西日暮里駅,7,18
suumo,20201559,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20201559/,4199,1LDK,,1992,11,12,東京都荒川区南千住５-43-13,南千住駅,5,43
suumo,20201560,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20201560/,3380,1LDK,,1980,4,9,東京都荒川区荒川７-39-4,町屋駅,1,37
suumo,20315917,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20315917/,4898,2LDK,,1985,3,13,東京都荒川区荒川１-４４-６,三ノ輪駅,8,32
suumo,20347655,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20347655/,3190,1LDK,,1978,12,12,東京都荒川区南千住５,三ノ輪駅,6,35
suumo,20348479,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20348479/,2888,3LDK,,1997,6,14,東京都荒川区荒川８,町屋駅,13,47
suumo,78922486,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_78922486/,4800,1LDK,,2023,3,5,東京都荒川区町屋６,町屋駅,14,47
suumo,78927356,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_78927356/,4290,3LDK,,1980,4,10,東京都荒川区南千住２,南千住駅,4,53
suumo,78943469,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_78943469/,3990,1LDK,,2009,6,12,東京都荒川区南千住２,南千住駅,8,42
suumo,78973822,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_78973822/,4280,2LDK,,1980,2,11,東京都荒川区西日暮里２-39－7,日暮里駅,4,33
suumo,79035237,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_79035237/,4290,３LDK,,1980,4,10,東京都荒川区南千住２,南千住駅,4,64
suumo,79069986,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_79069986/,3380,1DK,,1990,3,5,東京都荒川区西日暮里１,三河島駅,4,54
suumo,79084368,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_79084368/,2980,2DK,,1987,1,4,東京都荒川区荒川５-29-8,新三河島駅,3,9
suumo,79085036,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_79085036/,4780,ワンルーム,,1992,9,1,東京都荒川区東日暮里５,日暮里駅,4,36
suumo,79229296,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_79229296/,4540,3LDK,,1985,8,11,東京都荒川区西尾久８,尾久駅,10,52
suumo,20045066,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20045066/,4299,ワンルーム,,1985,3,1,東京都文京区音羽１-15-15,護国寺駅,3,13
suumo,20087203,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20087203/,4299,1DK,,1985,3,1,東京都文京区音羽１,護国寺駅,3,48
suumo,20172924,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20172924/,4598,1DK,,1983,4,7,東京都文京区本郷２,本郷三丁目駅,3,6
suumo,20217763,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20217763/,4520,2DK,,1979,7,9,東京都文京区本駒込４-37-7,田端駅,11,0
suumo,20249365,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20249365/,4699,ワンルーム,,1985,7,12,東京都文京区白山１,春日駅,7,26
suumo,20265119,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20265119/,4780,1LDK,,1971,4,1,東京都文京区本郷３,本郷三丁目駅,5,13
suumo,20322092,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20322092/,4250,1LDK,,1978,3,11,東京都文京区目白台２-9-15,雑司が谷駅,8,26
suumo,20345392,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20345392/,3698,1DK,,1982,3,6,東京都文京区小石川２-6-19,後楽園駅,5,41
